run_version,model_type,pred_threshold,pixel_threshold,min_area,val_iou,val_dice,val_image_precision,val_image_recall,val_image_f1,val_image_accuracy,val_pixel_precision,val_pixel_recall,val_pixel_f1,val_fp,val_fn,fp_rate,fn_rate,combined_score
v17_unet_baseline_160,unet,0.7200000286102295,100,100,0.6486511809057596,0.7868871091935349,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7742709227858394,0.7999212491747701,0.7868871091934875,52,5,0.1890909090909091,0.017857142857142856,0.7315761504616574
v17_unet_baseline_160,unet,0.7200000286102295,100,80,0.6486511809057596,0.7868871091935349,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7742709227858394,0.7999212491747701,0.7868871091934875,52,5,0.1890909090909091,0.017857142857142856,0.7315761504616574
v17_unet_baseline_160,unet,0.7200000286102295,80,180,0.6486511809057596,0.7868871091935349,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7742709227858394,0.7999212491747701,0.7868871091934875,52,5,0.1890909090909091,0.017857142857142856,0.7315761504616574
v17_unet_baseline_160,unet,0.7200000286102295,80,150,0.6486511809057596,0.7868871091935349,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7742709227858394,0.7999212491747701,0.7868871091934875,52,5,0.1890909090909091,0.017857142857142856,0.7315761504616574
v17_unet_baseline_160,unet,0.7200000286102295,80,120,0.6486511809057596,0.7868871091935349,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7742709227858394,0.7999212491747701,0.7868871091934875,52,5,0.1890909090909091,0.017857142857142856,0.7315761504616574
v17_unet_baseline_160,unet,0.7200000286102295,140,100,0.6486511809057596,0.7868871091935349,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7742709227858394,0.7999212491747701,0.7868871091934875,52,5,0.1890909090909091,0.017857142857142856,0.7315761504616574
v17_unet_baseline_160,unet,0.7200000286102295,80,80,0.6486511809057596,0.7868871091935349,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7742709227858394,0.7999212491747701,0.7868871091934875,52,5,0.1890909090909091,0.017857142857142856,0.7315761504616574
v17_unet_baseline_160,unet,0.7200000286102295,140,80,0.6486511809057596,0.7868871091935349,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7742709227858394,0.7999212491747701,0.7868871091934875,52,5,0.1890909090909091,0.017857142857142856,0.7315761504616574
v17_unet_baseline_160,unet,0.7200000286102295,120,180,0.6486511809057596,0.7868871091935349,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7742709227858394,0.7999212491747701,0.7868871091934875,52,5,0.1890909090909091,0.017857142857142856,0.7315761504616574
v17_unet_baseline_160,unet,0.7200000286102295,120,150,0.6486511809057596,0.7868871091935349,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7742709227858394,0.7999212491747701,0.7868871091934875,52,5,0.1890909090909091,0.017857142857142856,0.7315761504616574
v17_unet_baseline_160,unet,0.7200000286102295,120,120,0.6486511809057596,0.7868871091935349,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7742709227858394,0.7999212491747701,0.7868871091934875,52,5,0.1890909090909091,0.017857142857142856,0.7315761504616574
v17_unet_baseline_160,unet,0.7200000286102295,120,100,0.6486511809057596,0.7868871091935349,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7742709227858394,0.7999212491747701,0.7868871091934875,52,5,0.1890909090909091,0.017857142857142856,0.7315761504616574
v17_unet_baseline_160,unet,0.7200000286102295,80,100,0.6486511809057596,0.7868871091935349,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7742709227858394,0.7999212491747701,0.7868871091934875,52,5,0.1890909090909091,0.017857142857142856,0.7315761504616574
v17_unet_baseline_160,unet,0.7200000286102295,100,180,0.6486511809057596,0.7868871091935349,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7742709227858394,0.7999212491747701,0.7868871091934875,52,5,0.1890909090909091,0.017857142857142856,0.7315761504616574
v17_unet_baseline_160,unet,0.7200000286102295,120,80,0.6486511809057596,0.7868871091935349,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7742709227858394,0.7999212491747701,0.7868871091934875,52,5,0.1890909090909091,0.017857142857142856,0.7315761504616574
v17_unet_baseline_160,unet,0.7400000095367432,100,100,0.648636708041597,0.7868764596562553,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7757859282590709,0.7982886874756736,0.7868764596562078,52,5,0.1890909090909091,0.017857142857142856,0.7315673576211525
v17_unet_baseline_160,unet,0.7400000095367432,80,80,0.648636708041597,0.7868764596562553,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7757859282590709,0.7982886874756736,0.7868764596562078,52,5,0.1890909090909091,0.017857142857142856,0.7315673576211525
v17_unet_baseline_160,unet,0.7400000095367432,80,120,0.648636708041597,0.7868764596562553,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7757859282590709,0.7982886874756736,0.7868764596562078,52,5,0.1890909090909091,0.017857142857142856,0.7315673576211525
v17_unet_baseline_160,unet,0.7400000095367432,80,150,0.648636708041597,0.7868764596562553,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7757859282590709,0.7982886874756736,0.7868764596562078,52,5,0.1890909090909091,0.017857142857142856,0.7315673576211525
v17_unet_baseline_160,unet,0.7400000095367432,80,100,0.648636708041597,0.7868764596562553,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7757859282590709,0.7982886874756736,0.7868764596562078,52,5,0.1890909090909091,0.017857142857142856,0.7315673576211525
v17_unet_baseline_160,unet,0.7400000095367432,100,80,0.648636708041597,0.7868764596562553,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7757859282590709,0.7982886874756736,0.7868764596562078,52,5,0.1890909090909091,0.017857142857142856,0.7315673576211525
v17_unet_baseline_160,unet,0.7400000095367432,80,180,0.648636708041597,0.7868764596562553,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7757859282590709,0.7982886874756736,0.7868764596562078,52,5,0.1890909090909091,0.017857142857142856,0.7315673576211525
v17_unet_baseline_160,unet,0.7400000095367432,160,180,0.648636708041597,0.7868764596562553,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7757859282590709,0.7982886874756736,0.7868764596562078,52,5,0.1890909090909091,0.017857142857142856,0.7315673576211525
v17_unet_baseline_160,unet,0.7400000095367432,120,100,0.648636708041597,0.7868764596562553,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7757859282590709,0.7982886874756736,0.7868764596562078,52,5,0.1890909090909091,0.017857142857142856,0.7315673576211525
v17_unet_baseline_160,unet,0.7400000095367432,120,120,0.648636708041597,0.7868764596562553,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7757859282590709,0.7982886874756736,0.7868764596562078,52,5,0.1890909090909091,0.017857142857142856,0.7315673576211525
v17_unet_baseline_160,unet,0.7400000095367432,120,150,0.648636708041597,0.7868764596562553,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7757859282590709,0.7982886874756736,0.7868764596562078,52,5,0.1890909090909091,0.017857142857142856,0.7315673576211525
v17_unet_baseline_160,unet,0.7400000095367432,120,180,0.648636708041597,0.7868764596562553,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7757859282590709,0.7982886874756736,0.7868764596562078,52,5,0.1890909090909091,0.017857142857142856,0.7315673576211525
v17_unet_baseline_160,unet,0.7400000095367432,140,80,0.648636708041597,0.7868764596562553,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7757859282590709,0.7982886874756736,0.7868764596562078,52,5,0.1890909090909091,0.017857142857142856,0.7315673576211525
v17_unet_baseline_160,unet,0.7400000095367432,140,100,0.648636708041597,0.7868764596562553,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7757859282590709,0.7982886874756736,0.7868764596562078,52,5,0.1890909090909091,0.017857142857142856,0.7315673576211525
v17_unet_baseline_160,unet,0.7400000095367432,140,120,0.648636708041597,0.7868764596562553,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7757859282590709,0.7982886874756736,0.7868764596562078,52,5,0.1890909090909091,0.017857142857142856,0.7315673576211525
v17_unet_baseline_160,unet,0.7400000095367432,140,150,0.648636708041597,0.7868764596562553,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7757859282590709,0.7982886874756736,0.7868764596562078,52,5,0.1890909090909091,0.017857142857142856,0.7315673576211525
v17_unet_baseline_160,unet,0.7400000095367432,140,180,0.648636708041597,0.7868764596562553,0.8409785932721713,0.9821428571428571,0.9060955518945635,0.8972972972972973,0.7757859282590709,0.7982886874756736,0.7868764596562078,52,5,0.1890909090909091,0.017857142857142856,0.7315673576211525
